GET,POST,COOKIE,REQUEST,FILES,SESSION,elseif,for,foreach,DEF,FAF,RCF,ICF,maxWordLen,maxLineLen,entropy,Type
1,146,0,2,3,4,3.455,0.813,3.049,13,26,8,254,135,3049,5.462,1
7,9,0,0,2,0,0,0.283,0.567,0,4,17,33,416,162,5.442,1
3,43,2,15,0,0,2.97,0.29,2.209,18,128,50,231,422,1458,5.402,1
13,385,2,0,0,0,0.307,0.526,0.92,6,66,10,165,560,378,5.891,1
3,3,2,7,0,0,2.773,0.304,2.266,18,139,49,255,422,1458,5.619,1
15,48,2,7,0,0,2.493,0.283,1.841,18,152,52,304,31483,31483,5.951,1
10,372,11,0,0,0,0.275,0.413,0.917,7,72,7,182,560,369,5.912,1
6,52,0,0,2,0,0.759,0.675,1.266,1,37,5,41,134,379,5.415,1
0,0,0,0,0,0,0.51,0,0,1,0,0,12,58,111,5.205,1
0,0,0,15,0,0,0,0,0,0,1,0,0,65,142,5.394,1
0,251,42,0,2,0,1.898,0.881,1.695,0,0,0,0,784,0,5.508,1
0,14,0,0,0,0,1.377,0,1.102,0,25,0,2,91,134,5.096,1
0,2,0,0,0,0,0,0,0,0,0,0,7,63,107,5.127,1
0,0,0,0,0,0,0.091,1.187,0.365,0,24,0,2,416,465,4.775,1
53,39,0,2,3,0,1.61,0.179,0.268,1,23,0,38,114,459,5.834,1
6,52,0,0,2,0,0.789,0.701,1.315,1,37,5,42,421,343,5.365,1
0,2,0,0,0,0,0,0,0,0,6,0,20,42,299,5.489,1
20,77,0,136,7,47,2.496,0.808,1.101,1,123,10,134,812,3916,5.694,1
1,37,1,4,0,0,2.731,0.164,2.13,5,136,26,209,11589,11589,5.6,1
1,27,0,0,0,0,0.663,0.166,0.332,0,0,0,0,118,0,6.007,1
0,7,0,0,0,0,0,1.29,0,0,4,0,7,84,110,5.052,1
7,3,2,7,0,0,2.462,0.3,2.041,18,143,49,256,422,1458,5.701,1
0,4,0,0,3,0,0,0,0,0,0,0,5,60,110,5.361,1
10,26,0,0,2,0,1.121,0,0.224,0,16,4,37,59,248,4.629,1
0,0,0,6,0,0,0,0,0,0,2,0,1,77,79,3.716,1
2,0,0,0,0,0,0,0,0,0,0,0,1,23,90,5.037,1
15,11,0,0,9,4,1.17,0.13,0.26,0,30,17,26,62,290,5.508,1
7,3,2,7,0,0,2.667,0.293,2.211,18,143,49,256,422,1458,5.622,1
1,37,1,4,0,0,2.731,0.164,2.13,5,136,26,209,11589,11589,5.603,1
111,88,0,0,42,3,0.324,0.809,0.378,12,51,99,112,8867,8885,5.771,1
0,0,2,185,3,0,1.915,0.793,1.255,17,118,22,335,5847,5859,5.835,1
0,0,0,16,0,20,0.763,0,0,0,4,0,1,44,125,5.319,1
3,3,2,7,0,0,2.727,0.299,2.228,18,139,49,257,422,1458,5.619,1
2,2,0,0,0,0,1.575,0.225,0,0,1,0,84,81,293,5.308,1
15,9,2,7,0,0,2.646,0.29,2.097,18,142,41,257,422,1459,5.589,1
43,38,0,0,2,29,2.259,1.205,1.355,1,21,4,35,106,214,5.645,1
26,77,0,0,46,0,0.615,1.077,0.385,3,34,4,79,490,644,6.092,1
2,2,2,0,5,1,0.195,1.167,0.681,7,29,1,188,152,177,5.57,1
6,44,0,0,0,0,0,0,0,1,3,1,57,416,415,5.435,1
0,2,0,0,0,0,0,0,0,0,0,0,13,416,199,5.344,1
3,43,2,15,0,0,2.97,0.29,2.209,18,128,50,231,422,1458,5.402,1
