GET,POST,COOKIE,REQUEST,FILES,SESSION,elseif,for,foreach,DEF,FAF,RCF,ICF,maxWordLen,maxLineLen,entropy,Type
0,18,0,1,0,0,0.0,0.0,0.325,0,0,0,0,86,0,5.311,0
0,0,0,0,0,0,0.0,0.0,0.599,1,37,0,295,83,262,5.361,0
0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,22,0,4.99,0
1,1,0,1,0,0,0.242,0.0,0.966,0,0,0,0,80,0,5.188,0
0,0,0,0,0,0,0.0,0.779,1.039,0,0,0,29,114,218,5.357,0
0,0,0,0,0,0,0.508,0.0,2.2,0,12,0,173,104,1256,5.27,0
0,0,0,5,0,1,0.0,0.0,0.0,0,15,0,2,49,111,4.852,0
0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,16,50,205,5.189,0
0,0,0,0,9,0,0.367,0.183,0.917,0,12,0,65,129,504,5.348,0
0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,9,205,222,5.337,0
2,0,0,0,0,0,0.412,0.0,1.646,0,7,0,110,112,329,5.325,0
0,0,0,0,0,0,0.758,0.0,1.136,0,1,0,61,94,325,5.405,0
0,0,0,0,0,0,0.0,0.0,0.0,0,2,0,0,39,153,4.701,0
